id,title,issn,descrip,thumbnail,thumbnail_extension
1000,"Punisher, the Vol. I: Welcome Back, Frank (Trade Paperback)",0,"Two unlucky cops draw the unenviable task of capturing the Punisher, while the ruthless Ma Gnucci and her gang will stop at nothing to see him dead.",http://i.annihil.us/u/prod/marvel/i/mg/6/40/4bc66d86a4313,"jpg"
10000,"Magneto Rex (1999) #2",2,,http://i.annihil.us/u/prod/marvel/i/mg/6/d0/4bc474c7b8772,"jpg"
1001,"Punisher, the Vol. II: Army of One (Trade Paperback)",0,"Following a team-up with Spider-Man, the Punisher heads to the remote scrap of dirt known as Grand Nixon Island to take down an army of psychotic mercenaries.",http://i.annihil.us/u/prod/marvel/i/mg/3/b0/4bc66d8232369,"jpg"
10010,"Marvel Comics Presents (1988) #1",1,,http://i.annihil.us/u/prod/marvel/i/mg/9/40/4bc46b5156c5e,"jpg"
10012,"Marvel Comics Presents (1988) #100",100,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10013,"Marvel Comics Presents (1988) #101",101,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10014,"Marvel Comics Presents (1988) #102",102,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10015,"Marvel Comics Presents (1988) #103",103,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10016,"Marvel Comics Presents (1988) #104",104,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10017,"Marvel Comics Presents (1988) #105",105,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10018,"Marvel Comics Presents (1988) #106",106,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10019,"Marvel Comics Presents (1988) #107",107,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10026,"Marvel Comics Presents (1988) #113",113,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10027,"Marvel Comics Presents (1988) #114",114,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10028,"Marvel Comics Presents (1988) #115",115,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1003,"Sentry, the (Trade Paperback)",0,"On the edge of alcoholism and a failed marriage, Bob Reynolds wakes up to discover his true nature. A forgotten hero, he must unravel the conspiracy to erase his memory from mankind before an evil entity returns.",http://i.annihil.us/u/prod/marvel/i/mg/f/c0/4bc66d78f1bee,"jpg"
10033,"Marvel Comics Presents (1988) #12",12,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10034,"Marvel Comics Presents (1988) #120",120,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10035,"Marvel Comics Presents (1988) #121",121,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10036,"Marvel Comics Presents (1988) #122",122,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10037,"Marvel Comics Presents (1988) #123",123,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10039,"Marvel Comics Presents (1988) #125",125,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10041,"Marvel Comics Presents (1988) #127",127,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10045,"Marvel Comics Presents (1988) #130",130,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10046,"Marvel Comics Presents (1988) #131",131,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1005,"Spider-Man's Tangled Web Vol. I (Trade Paperback)",0,"Spider-Man has been operating in New York City for years and he has touched most of its eight million citizens, each with a story.  It's an entirely different way at looking at Spider-Man, the way he operates and the world he lives in.",http://i.annihil.us/u/prod/marvel/i/mg/9/f0/4bc66d6f7426f,"jpg"
10050,"Marvel Comics Presents (1988) #135",135,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10051,"Marvel Comics Presents (1988) #136",136,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10053,"Marvel Comics Presents (1988) #138",138,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10054,"Marvel Comics Presents (1988) #139",139,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10056,"Marvel Comics Presents (1988) #140",140,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10058,"Marvel Comics Presents (1988) #142",142,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10059,"Marvel Comics Presents (1988) #143",143,,http://i.annihil.us/u/prod/marvel/i/mg/f/d0/57f410b754111,"jpg"
1006,"Spider-Man's Tangled Web Vol. II (Trade Paperback)",0,"Today's hottest writers and artists take a hard look at the shadow Spider-Man casts over his friendly neighborhood and the people who live in it.",http://i.annihil.us/u/prod/marvel/i/mg/c/b0/4bc66d6ae46b9,"jpg"
10060,"Marvel Comics Presents (1988) #144",144,,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/57f4111badeb5,"jpg"
10061,"Marvel Comics Presents (1988) #145",145,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10063,"Marvel Comics Presents (1988) #147",147,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10064,"Marvel Comics Presents (1988) #148",148,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10065,"Marvel Comics Presents (1988) #149",149,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10069,"Marvel Comics Presents (1988) #152",152,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10071,"Marvel Comics Presents (1988) #154",154,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10072,"Marvel Comics Presents (1988) #155",155,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10073,"Marvel Comics Presents (1988) #156",156,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10074,"Marvel Comics Presents (1988) #157",157,,http://i.annihil.us/u/prod/marvel/i/mg/5/b0/4bad1731761e0,"jpg"
10075,"Marvel Comics Presents (1988) #158",158,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10078,"Marvel Comics Presents (1988) #160",160,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10079,"Marvel Comics Presents (1988) #161",161,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1008,"Spider-Man: The Death of Gwen Stacy (Trade Paperback)",0,"In this shocking and moving story, the Green Goblin and Spider-Man face off atop the George Washington Bridge, with Gwen's life hanging in the balance.",http://i.annihil.us/u/prod/marvel/i/mg/9/90/4bc66d662a58c,"jpg"
10083,"Marvel Comics Presents (1988) #165",165,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10084,"Marvel Comics Presents (1988) #166",166,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1009,"Startling Stories: Banner (Trade Paperback)",0,"Tormented by his unstoppable alter ego, Bruce Banner has nowhere to hide. Having located the man-like monstrosity that is the Hulk in the New Mexico desert, gamma-irradiated government operative Doc Samson prepares his troops for a cataclysmic confrontati",http://i.annihil.us/u/prod/marvel/i/mg/6/20/4bc66d6162b43,"jpg"
10090,"Marvel Comics Presents (1988) #171",171,,http://i.annihil.us/u/prod/marvel/i/mg/5/70/57f413b403b0a,"jpg"
10093,"Marvel Comics Presents (1988) #174",174,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10094,"Marvel Comics Presents (1988) #175",175,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1010,"U.S. War Machine Vol. I (Trade Paperback)",0,"Fired by Tony Stark and recruited by S.H.I.E.L.D., James Rhodes must lead a team of rookies against the evil alliance known as A.I.M. and the carnage begins with a team of War Machines!",http://i.annihil.us/u/prod/marvel/i/mg/c/d0/4bc66d5cd569c,"jpg"
10108,"Marvel Comics Presents (1988) #3",3,,http://i.annihil.us/u/prod/marvel/i/mg/6/60/4bb68ac567144,"jpg"
10117,"Marvel Comics Presents (1988) #38",38,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
