id,firstName,lastName
12505,Allen,Nunis
12506,Mark,Shultz
12507,Christopher,Moeller
12508,Stan,Manoukian
12509,Russ,Manning
12510,Brian,Snoddy
12511,Miles,Lane
12512,Nicola,Scott
12513,Dan,Jackson
12514,Sergio,Aragon&#233;s
12515,Donald,Glut
12516,Walt,Simonson
12519,Dave,Dorfman
12520,Ken,Kelly
12521,Rod,Pereira
12522,Doug,Petrie
12525,David&#233;,Fabbri
12526,Jon,Foster
12527,Carlos,D'anda
12528,Hugh,Fleming
12530,Facundo,Percio
12531,Sean,Cooke
12532,Stephane,Crety
12533,Víctor,Leza
12534,Peet,Janes
12535,Edvin,Biukovic
12536,Doug,Mahnke
12537,Mike,Hansen
12539,Isaac,Owens
12540,Adam,Gallardo
12541,Juvaun,Kirby
12542,David,Land
12543,Jim,Woodring
12544,Dave,Cooper
12545,Ryder,Windham
12546,Rich,Handley
12547,Rich,Hedden
12548,Dave,Land
12549,Kevin,Rubio
12550,Lucas,Marangon
12552,Tom,Fassbender
12553,Jim,Pascoe
12554,Sean,Konot
12555,Mark,Martin
12556,Rick,Neilsen
12557,Kellie,Strom
12558,Phil,Amara
12559,Beau,Smith
12560,Francisco,Hererra
12562,Henry,Gilroy
12564,Glen,Murakami
12565,Philip,Simon
12566,Mike,Kennedy
12567,Christian,Read
12568,Jason,Hall
12569,Chris,Slane
12570,Christina,Chen
12571,Scott,Allie
12572,Amanda,Connor
12573,Killian,Plunkett
12575,Adrian,Sibar
12576,N/A,
12577,Scott,Beatty
12578,Kagan,McLeod
12579,Milton,Jr.
12580,The,Brothers
12581,Chris,Eliopolous
12582,Jon,Sommariva
12583,Chris,Cerasi
12584,Nathan,Walker
12585,Jay,Laird
12586,Timothy,II
12587,Tod,Parkhill
12588,Mike,Denning
12589,Gilbert,Austin
12591,Joey,Mason
12592,Greg,Titus
12593,Ben,Templesmith
12594,Peter,Alilunas
12595,W.,Blackman
12596,Henry,Flint
12597,Stewart,McKenny
12598,Dub,
12599,Ken,Lizzi
12600,Jeremy,Barlow
12601,Scott,Kurtz
12602,Núria,Peris
12603,Rick,Geary
12604,Jim,Campbell
12605,James,Kolchalka
12606,Shane,McCarthym
12607,Thomas,Andrews
12608,Nathan,Butler
12609,Hisao,Tamaki
12610,St&#233;phane,Roux
12611,St&#233;phane,Cr&#233;ty
12613,John,Wagner
12614,Carlos,Ezquerra
12615,Mathieu,Lauffray
12616,Mike,Richardson
12617,Tom,Veitch
12618,Douglas,Wheatley
12619,Lui,Antonio
12620,Marc,Simonetti
12621,Benjamin,Carr&#233;
12622,Pablo,Correa
12623,Bruno,Redondo
12624,Juan,Frigeri
12625,Tim,Siedell
12626,Felipe,Massafera
12627,Tsuneo,Sanda
12628,Iván,Fernández
12629,Dave,Manak
12630,Dan,Thorsland
12631,Bill,Hughes
12632,Anthony,Daniels
12633,Michael,Sutfin
12634,Jim,Baikie
12635,Olivier,Vatine
12636,Colin,Wilson
12637,Art,Wetherell
12638,Mark,Harrison
12639,Mahmud,Asrur
12640,HOON,
12641,Dario,Jr.
12642,Ray,Logo
12643,David,Daza
12644,Alan,Robinson
12645,Dan,Scott
12646,Dean,Zachary
12647,Daryl,Mandryk
12648,Ron,Chan
12649,Jim,Pavelec
12650,Dan,Parsons
12651,Omar,Francia
12653,Daniel,Santos
12654,Kajo,Baldisimo
12655,Livio,Ramondelli
12656,Michael,Stackpole
12659,C.,Smith
12660,Batt,
12661,"Batt,",Ching
12662,Mozart,Couto
12663,John,Gallagher
12664,Shin-Ichi,Hiromoto
12665,Nick,Choles
12666,Janine,Johnston
12667,David,Roach
12668,Tony,Atkins
12669,Russell,Walks
12670,Marc,Gabbana
12671,Toshiki,Kudo
12672,John,Whitman
12673,Robert,Chestney
12674,Kevin,Ryan
12675,Stuart,Hiner
12676,J.,Rinzler
12677,Nick,Runge
12679,Chris,Avellone
12680,Aaron,McBride
12681,Erik,Tiemens
12682,Michael,Murnane
12683,Derek,Thompson
12684,Alex,Jaeger
12685,Stephan,Martini&#233;re
12686,Robert,Barnes
12687,Sang,Lee
12688,Ryan,Church
12689,Warren,Fu
12690,Patrick,Blaine
12691,Paul,Alden
902,Jeff,Christiansen
5046,Jess,Ruffnerbooth
1435,Frank,Paul
11392,J.S.,Rossbach
916,Daniel,Berman
2958,Andrew,Wildman
10572,ALEC,SIEGEL
1125,Shannon,Gallant
748,David,Hahn
1179,George,Evans
7608,Flint,Henry
9277,R.,Jones
1447,Don,Rico
6628,Kevin,Knowlan
8769,Joe,Cooper
4790,Alan,Grant
1448,Carl,Pfeufer
10105,Jorge,Maese
5815,Steven,Butler
9425,Sean,Galloway
1454,Jimmy,Thompson
10778,EMMA,MANEIRO
1452,Vince,Alascia
7710,CARLO,PAGUYLAN
12612,Chris,Scalf
4332,Steve,Rude
4579,Gerald,DeCaire
5913,Jorge,Gonzalez
2033,Jan,Strnad
1450,Ken,Bald
12517,Randy,Stradley
12561,Mike,Jr.
1019,Derec,Donovan
3975,Joe,Pierre
1189,Ryan,Odagawa
10014,PIERRE-MONY,CHAN
2674,Bruce,Zick
9779,Nancy,Butler
10815,JUAN,PRIETO
1144,Scott,Gray
1159,David,Inshield
8507,Frank,Marafino
10756,RAFAEL,DIAS
7938,PAULO,SIQUERA
6002,Tim,Hamilton
10109,Matteo,Longis
11094,Enrique,Fernandez
2502,Ron,Wagner
11444,William,Tortolini
9716,BENJAMIN,
10322,Mike,O Sullivan
6061,Scott,McCloud
10092,Kai,Spannuth
2392,Bonnie,Wilford
889,Jesse,Delperdang
2388,Brian,Pelletier
1397,Kevin,West
340,Ben,Lai
833,Justin,Gray
3978,David,Boller
10072,Matteo,De Longis
7968,,
10853,DAVID,STEWART
433,Jonathan,Sibal
7532,GABRIELE,WHITE
11349,TWINS,LTDA.
10193,JOHONEN,VASQUEZ
8947,Louis,Small
1494,Al,Fagaly
6802,Carlo,Pagulyan
10863,ALEXANDER,IRVINE
10669,FIRM,15
4259,Rafael,Marin
1251,Brett,Breeding
11283,DUSTIN,HARBIN
343,Sam,Kieth
9,Brian,Azzarello
10592,DAVID,SHARPE
1238,Jack,Sparling
630,Ray,Lai
10987,POP,LTDA
5932,Felix,Serrano
3722,Paris,Karounos
1396,Ron,Randall
380,Jeff,Johnson
345,Francisco,Herrera
5126,Barry,Smith
10886,METROPOLIS,COLLECTIBLES
10913,SIMON,SPURRIER
1236,Michael,Fleisher
10607,PAUL,JENKINS
9226,Paul,Grist
8324,Dash,Shaw
10859,JORGE,RAMIREZ
3883,Doug,Murray
11225,GRADIMIR,SMUDJA
11277,AFIF,KHALED
11388,NEONARCHEOS,PUBLISHING
10562,MICHAEL,BENSON
3414,James,Hudnall
11071,SCOTT,RICHARDSON
11072,SHANNON,WHEELER
11397,Jillian,Tamaki
10724,NANCY,HAJESKI
11359,NUBUKO,MITSUOKA
11614,Rafa,Blanco
10875,PACIFIC,LTD
11400,Shane,White
288,David,Peter
10772,BRIAN,REED
12518,Kerry,Gammill
12538,Dave,Ross
12652,Douglas,Wheatly
12657,Alexander,Freed
12658,Andrea,Chella
12574,C.B.,Cebulski
12524,Tim,Truman
12523,Randy,Green
4469,Richard,Bennett
97,Devin,Grayson
2652,Randall,Frenz
235,Jon,Holdredge
9573,Tom,Scioli
3754,Mike,Lackey
1143,John,Rauch
1292,Anthony,Williams
2822,Dave,Hoover
413,Juan,Vlasco
3804,Alan,Cowsill
5928,Howard,Shum
461,Norm,Rapmund
544,Wayne,Faucher
556,Jung,Choi
934,Mike,Manley
610,Matt,Ryan
632,Stefano,Raffaele
3759,Robert,Davis
717,Cully,Hamner
745,Yvel,Guichet
3674,John,Royle
3805,Jimmy,Chung
786,Ricardo,Mays
785,Jim,Mullaney
8799,John,Ridgway
877,Cliff,Rathburn
906,Mike,Fichera
5956,Christopher,Golden
1068,Brian,Denham
155,Dan,Jurgens
3401,Manny,Galan
5816,George,Freeman
4985,Greg,Hildebrandt
8204,Charlie,Beckerman
3947,John,Hebert
5178,Mike,Baron
1351,Bob,Powell
1361,Tom,Mullin
11398,Adam,Archer
1442,Ed,Robbins
1449,George,Klein
1495,Louis,Ferstadt
1506,Red,Holmdale
1513,Lou,Paige
1553,Sam,Rosen
1777,Don,Warfield
1821,Ben,Sean
1871,Ken,Bruzenak
1928,Steve,Dutro
1929,Ian,Laughlin
1937,Jon,Babcock
1967,Brad,Joyce
1973,Tony,Mortellaro
2036,Andy,Yanchus
2077,Hilary,Barta
2082,Keith,Williams
8336,Dave,Taylor
2124,Shawn,McManus
2195,Elaine,Heinl
2261,Chris,Ivy
4885,Michael,Lopez
4124,Walter,McDaniel
2319,Tim,Dzon
3073,Marc,Campos
2369,Jade,Moede
2386,Harry,Candelario
2470,Gerry,Talaoc
2687,Jonathan,Babcock
3140,Steve,Moore
9681,William,Loebs
2949,Dan,Reed
3031,Dennis,Mallonee
4027,Ben,Herrera
3394,Craig,Brasfield
3396,Frank,Turner
3400,Derek,Yaniger
3402,Mark,Stegbauer
3410,Steve,Purcell
3411,Hugh,Haynes
384,Rurik,Tyler
566,Scott,McKowen
3456,Gavin,Curtis
3478,Bill,Wylie
3535,Steve,Butler
3578,Matt,Webb
3105,Jerry,DeCaire
3675,Keith,Champagne
3701,Ken,Branch
3721,Hoang,Nguyen
3779,John,Czop
3798,John,Stokes
3803,Jose,Fonteriz
2308,Grant,Miehm
3904,Vince,Evans
3885,Karl,Story
3967,John,Nyberg
4009,Andrew,Lis
4052,German,Garcia
9409,Sarah,Blankier
4160,Steve,Mannion
4549,Oscar,Gongora
4561,Raymond,Lee
4567,Ray,Snyder
960,Sal,Velluto
4886,Will,Murray
5393,Ken,McDonald
1297,Jo,Duffy
10117,Chris,Jones
161,Ben,Raab
3740,Mariano,Nicieza
4714,Norman,Felche
5287,Saleem,Crawford
5323,Fred,Bell
574,Simon,Coleby
5392,Fred,Schiller
1003,William,Rosado
873,Lou,Kang
3822,Ernie,Colon
5190,Phil,Sturm
347,Trevor,Hairsine
3075,Robert,Kanigher
352,Tony,Bedard
353,Akira,Yoshida
1207,Bill,Jaaska
11475,Felix,Ruiz
1218,Harlan,Ellison
949,Alex,Schomburg
5845,Trevor,McCarthy
2093,Eric,Fein
6920,Mark,Tenney
3648,Chris,Wozniak
8826,Jorge,Santamaria
9084,Matthew,Marsilia
4637,John,Ridgeway
3916,Dan,Fraga
1428,James,Cordeiro
11294,DAVID,LATOUR
7119,Paul,Chadwick
6080,Tod,Smith
543,Mark,Robinson
1232,Jerry,Ordway
1358,Al,Avison
7781,Adolfo,Buylla
1035,Khari,Evans
116,Igor,Kordey
11586,Nicholas,Spencer
