seriesID,title,descrip,thumbnail,thumbnail_extension
10,"Captain Britain Vol. I (1999)",,http://i.annihil.us/u/prod/marvel/i/mg/c/90/4bc670dbb9d85,"jpg"
100,"Black Panther Vol. II: Enemy of the State (1999)",,http://i.annihil.us/u/prod/marvel/i/mg/c/40/4bc66baf33c75,"jpg"
1000,"Jack Kirby's Galactic Bounty Hunters (2006 - 2007)",,http://i.annihil.us/u/prod/marvel/i/mg/9/c0/4bc38d6849be1,"jpg"
10000,"Alpha Flight Classic Vol. 2 (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10005,"Anita Blake: Circus of the Damned Book 1 (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10006,"Anita Blake: Circus of the Damned Book 2 Premiere HC (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10007,"Anita Blake, Vampire Hunter: Circus of the Damned Book 2 - The Ingenue TPB (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10008,"Anita Blake: Circus of the Damned Book 3 Premiere HC (2012)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10009,"ANITA BLAKE, VAMPIRE HUNTER: CIRCUS OF THE DAMNED BOOK 3 - THE SCOUNDREL TPB (2012)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10018,"SPIDER-GIRL: FAMILY VALUES TPB  (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/5/10/4cdc57edaa4eb,"jpg"
10024,"Astonishing Thor (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10025,"ASTONISHING THOR TPB (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10028,"Astonishing X-Men: Xenogenesis (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10029,"Astonishing X-Men: Xenogenesis (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10030,"Atlantis Attacks (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/7/80/51b8add889975,"jpg"
10031,"Atlantis Attacks (DM Only) (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/9/70/4c4de5222e66f,"jpg"
10035,"Avengers & the Infinity Gauntlet (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10037,"Avengers Academy Vol 1 : Permanent Record TPB (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10038,"AVENGERS ACADEMY VOL. 2: WILL WE USE THIS IN THE REAL WORLD? PREMIERE HC (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10043,"Avengers Forever (New Printing) (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10045,"AVENGERS: MYTHOS TPB (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10047,"Avengers: By Brian Michael Bendis Vol. 1 (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4cb779435d0bb,"jpg"
10048,"Avengers Vol 1: By Brian Michel Bendis TPB (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10051,"Avengers By Brian Michael Bendis Vol. 2 Premiere HC (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10052,"Avengers: (7-12) (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10054,"Avengers: Hawkeye TPB (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10055,"Avengers: I Am an Avenger II (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4ba9452a31e0f,"jpg"
10057,"Avengers: The Children's Crusade Ohc (2012)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10059,"Avengers: The Coming of the Beast (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/3/d0/4c1294fc99109,"jpg"
10062,"Avengers: The Origin (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10065,"Black Widow: The Name of the Rose (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/b/e0/4c90f0e13ee3a,"jpg"
10066,"Black Widow: The Name of the Rose (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10067,"Black Widow: Kiss or Kill TPB (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10068,"Black Widow: Deadly Origin (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/6/50/4c1294f7ba841,"jpg"
10075,"Captain America & the Young Allies (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10080,"Captain America: No Escape (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c911b187b0fe,"jpg"
10081,"Captain America: No Escape (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10083,"Captain America: Patriot (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10090,"Captain America: White (2016)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10091,"Winter Soldier Vol. 1: The Longest Winter TPB (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10099,"Casanova: Luxuria (2011 - Present)",,http://i.annihil.us/u/prod/marvel/i/mg/c/a0/4cb77ae52d8c6,"jpg"
10100,"CASANOVA: AVARITIA TPB (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10101,"Casanova: Gula TPB (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10104,"Civil War: The Underside (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/1/00/4c1295d933578,"jpg"
10105,"Civil War: X-Men (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4c4dfc55e9603,"jpg"
10108,"Daken: Dark Wolverine (Issues 1-6) (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10109,"DAKEN: DARK WOLVERINE â€” EMPIRE TPB (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10110,"Daken/X-23 Collision Premiere HC (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10111,"Daken: Dark Wolverine (Issues 7-12) (2012)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10112,"SHADOWLAND: DAREDEVIL TPB (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10115,"Daredevil: End of Days (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10116,"DAREDEVIL: END OF DAYS TPB (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1012,"Marvel Spotlight (2005 - 2011)",,http://i.annihil.us/u/prod/marvel/i/mg/f/30/4bc60cca0f89e,"jpg"
10121,"Siege: Dark Avengers (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/f/30/4cb60fe71ca8d,"jpg"
10123,"Dark Tower: The Battle of Jericho Hill TPB (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10124,"Dark Tower: The Gunslinger - The Journey Begins (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4cb60fe011348,"jpg"
10126,"Dark Tower: The Long Road Home (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/3/a0/4c1297773c5d2,"jpg"
10127,"Dark Tower: Treachery (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10133,"Deadpool Corps Vol. 1: Pool-Pocalypse Now (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/4c44adf02f803,"jpg"
10134,"DEADPOOL CORPS: POOL-POCALYPSE NOW (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10135,"Deadpool Corps Vol. 2: You Say You Want A Revolution (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10136,"DEADPOOL CORPS VOL. 2: YOU SAY YOU WANT A REVOLUTION TPB (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10137,"Deadpool Max (Issues 1-6) (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10138,"Deadpool Max (Issues 1-6) (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10139,"DEADPOOL MAX: BALLS OUT PREMIERE HC (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10140,"DEADPOOL MAX: INVOLUNTARY ARMAGEDDON TPB (2012)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10141,"Deadpool Pulp GN-TPB (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10143,"Deadpool Team-Up Vol. 2: Special Relationship (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/4c911b0a9abb0,"jpg"
10144,"Deadpool Team-Up Vol. 2: Special Relationship (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10146,"Deadpool Vol. 5 (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/9/10/4c44ade31f481,"jpg"
10147,"Deadpool Vol. 5: What Happened In Vegas (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10149,"Deadpool: Merc with a Mouth - Head Trip (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1015,"Young Avengers Special (2005)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10150,"Deadpool: Wade Wilson's War (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10151,"Deathlok: The Demolisher (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4bed630244ad0,"jpg"
10154,"Dexter (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10155,"Dexter (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1016,"Iron Man: Inevitable (2005 - 2006)",,http://i.annihil.us/u/prod/marvel/i/mg/6/80/517554cad70e8,"jpg"
10161,"Doomwar (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10163,"Electric Ant (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10168,"Orson Scott Card's Ender in Exile (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/3/30/4cb6119432f27,"jpg"
1017,"X-Statix Presents: Dead Girl (2006)",,http://i.annihil.us/u/prod/marvel/i/mg/3/90/4bc60639291c8,"jpg"
10171,"Orson Scott Cards's Ender's Speaker for the Dead Premiere HC (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10187,"Essential Captain Marvel Vol. 2 (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10188,"Essential Ghost Rider Vol. 4 (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/c/70/4c44aee9ca087,"jpg"
1019,"Marvel Legacy: The 1970s (2006)",,http://i.annihil.us/u/prod/marvel/i/mg/c/70/4bc5e6f6c0d82,"jpg"
10193,"Exiles Ultimate Collection Book 6 (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4c9105d1e6f4d,"jpg"
10196,"Fantastic Four by Jonathan Hickman Vol. 3 (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/4c473aaa1a668,"jpg"
10197,"Fantastic Four by Jonathan Hickman Vol. 3 (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1020,"Marvel Legacy: The 1980s (2006)",,http://i.annihil.us/u/prod/marvel/i/mg/e/90/4bc5bba438d0b,"jpg"
10201,"FANTASTIC FOUR: ISLAND OF DEATH TPB (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/9/00/5a8c806a1ef12,"jpg"
10202,"Fantastic Four: Resurrection of Galactus (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4bed62fd3fedf,"jpg"
10206,"Formic Wars: First Series Vol. 1 (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1021,"Iron Man: Hypervelocity (2007)",,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/5a9034ee2a16d,"jpg"
10218,"GENERATION HOPE: THE FUTURE'S A FOUR-LETTERED WORD (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1022,"Ultimate Wolverine Vs. Hulk (2005 - 2009)",,http://i.annihil.us/u/prod/marvel/i/mg/d/10/51311088138f3,"jpg"
10222,"Halo Graphic Novel (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/f/c0/4ba944f6de8ea,"jpg"
10223,"Halo: Blood Line (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10229,"FEAR ITSELF: HERC PREMIERE HC (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1023,"All-New Official Handbook of the Marvel Universe A to Z (2006)",,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4bc6061ade06e,"jpg"
10232,"HERC: PRODIGAL GOD TPB (2012)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10235,"Age of Heroes (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10238,"AVENGERS PRIME (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10241,"Heroic Age: Spider-Man/Wolverine Vol. 1 (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10243,"Hit-Monkey: Year of the Monkey (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/e/d0/4c90f0dad52ea,"jpg"
10246,"Hulk Vol.6 : World War Hulks (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4c4df3412be05,"jpg"
1025,"Giant-Size Ms. Marvel (2006)",,http://i.annihil.us/u/prod/marvel/i/mg/2/70/4bc5fead6c4b9,"jpg"
10254,"Hulk: World War Hulks - Hulked-Out Heroes (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/6/30/4ba944f25417a,"jpg"
10256,"Husk (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
